px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	yaw_angle	yaw_rate	NIS
11.9839	21.0694	4.87131	3.07959	0.573526	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778	3.05747	0.503383	0.948561
11.7359	21.044	4.86483	3.1217	0.587462	11.6814	20.8651	11.785	21.117	-4.86022	0.286869	3.08264	0.500558	1.86035
11.4892	21.0302	4.8653	-3.12554	0.595591	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281	3.10767	0.497655	1.09583
11.2653	21.0277	4.84635	-3.09844	0.593838	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057	3.13255	0.494673	0.591676
11.0125	20.9886	4.85339	-3.05831	0.605492	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565	3.15728	0.491613	4.188
10.7932	20.9543	4.8278	-3.02467	0.610291	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643	3.18186	0.488475	0.559442
10.5453	20.9531	4.82762	-3.01806	0.566264	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604	3.20629	0.48526	5.56125
10.2759	20.9764	4.86769	-3.01081	0.542361	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674	3.23055	0.481969	3.4407
10.037	20.9578	4.86575	-2.99138	0.532152	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463	3.25465	0.478601	1.01431
9.8306	20.9223	4.82979	-2.96557	0.533083	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327	3.27858	0.475158	1.62408
9.59279	20.9148	4.817	-2.96683	0.484152	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189	3.30234	0.47164	2.4721
9.38925	20.8644	4.78115	-2.93921	0.489275	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977	3.32592	0.468047	1.22222
9.1627	20.825	4.77383	-2.91867	0.485634	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362	3.34932	0.46438	1.52917
8.88688	20.7879	4.82099	-2.90363	0.474181	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605	3.37254	0.46064	1.93536
8.66664	20.7105	4.80885	-2.87116	0.485581	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372	3.39557	0.456828	4.47662
8.40267	20.6235	4.84603	-2.84169	0.489553	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701	3.41841	0.452943	2.69516
8.17408	20.5437	4.84694	-2.81301	0.496835	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542	3.44106	0.448987	0.0884135
7.93505	20.463	4.85852	-2.7892	0.495329	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237	3.46351	0.444959	0.137883
7.71813	20.377	4.85655	-2.75691	0.513345	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781	3.48576	0.440862	3.48457
7.42901	20.3164	4.92088	-2.75047	0.490868	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717	3.5078	0.436695	3.83744
7.20075	20.2186	4.92148	-2.72716	0.48733	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399	3.52963	0.432459	0.230299
6.942	20.1365	4.95425	-2.71428	0.474118	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462	3.55126	0.428154	1.05976
6.71893	20.0437	4.94703	-2.69749	0.463408	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357	3.57266	0.423782	0.428729
6.47169	19.9539	4.96872	-2.68464	0.45183	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079	3.59385	0.419343	0.604416
6.25561	19.8594	4.95858	-2.66728	0.447091	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625	3.61482	0.414838	2.7265
5.99667	19.7675	4.99295	-2.65935	0.430849	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993	3.63556	0.410268	1.29885
5.77638	19.6207	5.01332	-2.61942	0.461677	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178	3.65608	0.405632	2.17624
5.58364	19.5012	4.98728	-2.59529	0.463611	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418	3.67636	0.400933	0.891916
5.38357	19.3514	4.98506	-2.56184	0.477547	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995	3.6964	0.39617	1.68445
5.16421	19.2516	4.98319	-2.55362	0.461156	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622	3.71621	0.391345	1.89702
4.96633	19.1392	4.95464	-2.54515	0.437082	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059	3.73578	0.386458	4.47361
4.79145	18.9888	4.9303	-2.51463	0.447064	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305	3.7551	0.381509	0.575986
4.58665	18.8389	4.94513	-2.48842	0.456815	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359	3.77418	0.376501	1.50636
4.40143	18.7073	4.92676	-2.47046	0.452229	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422	3.793	0.371433	1.05728
4.21291	18.5652	4.90773	-2.45796	0.432836	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888	3.81158	0.366307	1.39273
